Date,Python
5/30/2001,1.25
6/30/2001,1.135
7/30/2001,1.197
8/28/2001,1.17
9/26/2001,1.284
10/28/2001,1.234
11/30/2001,1.043
12/30/2001,1.017
1/27/2002,0.987
2/28/2002,0.989
3/29/2002,1.069
4/29/2002,1.057
5/29/2002,1.125
6/30/2002,1.081
7/29/2002,1.217
8/29/2002,1.081
9/30/2002,1.187
10/29/2002,1.005
11/30/2002,1.002
12/30/2002,1.033
1/28/2003,0.974
2/28/2003,0.988
3/30/2003,1.007
4/30/2003,1.161
5/30/2003,1.285
6/30/2003,1.297
7/30/2003,1.425
8/30/2003,1.486
9/30/2003,1.766
10/30/2003,1.097
11/30/2003,1.125
12/30/2003,1.006
1/29/2004,1.018
2/28/2004,1.008
3/30/2004,4.565
4/30/2004,6.579
5/30/2004,4.963
6/30/2004,4.704
7/30/2004,5.597
8/30/2004,4.438
9/30/2004,5.2
10/30/2004,3.029
11/30/2004,2.842
12/30/2004,2.506
1/28/2005,2.424
2/28/2005,2.697
3/30/2005,2.48
4/30/2005,2.802
5/30/2005,2.525
6/30/2005,2.883
7/30/2005,3.032
8/30/2005,2.882
11/3/2005,2.678
12/4/2005,2.605
1/2/2006,2.669
2/1/2006,3.093
3/2/2006,2.759
4/1/2006,3.042
5/1/2006,3.464
6/2/2006,3.017
7/2/2006,3.071
8/2/2006,3.144
9/1/2006,3.466
10/2/2006,3.641
11/1/2006,3.762
12/2/2006,3.502
1/3/2007,3.566
2/3/2007,3.897
3/1/2007,3.814
4/5/2007,3.779
5/2/2007,3.161
6/2/2007,3.024
7/5/2007,2.749
8/2/2007,3.025
9/4/2007,3.433
10/4/2007,4.227
11/3/2007,4.697
12/3/2007,5.538
1/7/2008,4.763
5/1/2008,4.899
6/2/2008,4.973
7/3/2008,4.975
8/3/2008,5.012
9/6/2008,4.565
10/2/2008,5.14
11/3/2008,4.169
12/2/2008,4.731
1/1/2009,4.567
2/5/2009,5.185
3/7/2009,6.08
4/1/2009,5.548
5/4/2009,4.756
6/2/2009,4.435
7/1/2009,4.489
8/5/2009,3.93
9/2/2009,3.901
10/2/2009,4.672
11/2/2009,5.185
12/5/2009,4.453
1/7/2010,4.314
2/7/2010,4.23
3/5/2010,4.205
4/15/2010,4.097
6/6/2010,4.217
6/30/2010,4.223
8/11/2010,4.583
9/2/2010,4.86
10/3/2010,5.679
11/7/2010,6.482
12/2/2010,6.265
1/8/2011,7.038
2/8/2011,5.737
3/3/2011,4.931
4/2/2011,4.583
5/5/2011,3.899
5/27/2011,3.899
6/8/2011,3.583
7/3/2011,3.415
8/10/2011,4
9/9/2011,3.944
10/7/2011,3.617
11/4/2011,3.492
12/8/2011,3.213
1/5/2012,3.148
2/11/2012,3.291
3/8/2012,3.665
4/9/2012,3.819
5/10/2012,3.848
6/4/2012,4
7/10/2012,3.876
8/2/2012,3.861
9/5/2012,3.895
10/4/2012,4.062
11/2/2012,3.848
12/5/2012,4.173
1/8/2013,4.949
2/11/2013,4.388
3/7/2013,4.442
4/8/2013,4.322
5/9/2013,4.183
6/7/2013,4.035
6/12/2013,4.035
7/4/2013,3.603
8/11/2013,3.169
9/10/2013,3.107
10/9/2013,3.11
11/6/2013,2.21
12/1/2013,2.373
1/8/2014,2.157
2/3/2014,2.021
3/10/2014,1.993
4/7/2014,3.057
5/8/2014,2.71
6/6/2014,2.656
7/11/2014,3.121
8/1/2014,2.782
9/3/2014,2.333
10/8/2014,2.589
11/7/2014,2.287
12/6/2014,2.613
1/5/2015,2.882
2/7/2015,2.614
3/13/2015,2.69
4/13/2015,3.725
5/6/2015,3.999
6/12/2015,4.257
7/6/2015,4.066
8/5/2015,3.664
9/4/2015,4.512
10/7/2015,3.771
11/4/2015,4.429
12/2/2015,3.854
1/2/2016,4.18
2/3/2016,4.257
3/7/2016,3.33
4/6/2016,3.789
5/5/2016,3.9
6/4/2016,4.166
7/6/2016,4.404
8/8/2016,4.302
9/7/2016,3.775
10/5/2016,3.567
11/4/2016,4.239
12/7/2016,3.465
1/8/2017,4.043
2/7/2017,3.919
3/9/2017,3.457
4/6/2017,3.548
5/3/2017,4.333
6/7/2017,3.543
7/2/2017,3.692
8/6/2017,2.983
9/5/2017,3.803
10/12/2017,4.482
11/9/2017,3.777
12/3/2017,4.678
1/8/2018,5.168
2/7/2018,5.869
3/1/2018,5.803
4/6/2018,5.192
5/10/2018,5.761
6/7/2018,6.361
7/1/2018,6.992
8/3/2018,7.653
9/5/2018,7.156
